GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US00791,00791,ZCTA5 00791,25871,25777,25777,0,94,0
8600000US00794,00794,ZCTA5 00794,11502,11043,11043,0,459,0
8600000US00795,00795,ZCTA5 00795,19196,17787,17755,32,1409,0
8600000US00901,00901,ZCTA5 00901,4990,4990,4990,0,0,0
8600000US00906,00906,ZCTA5 00906,168,168,168,0,0,0
8600000US00907,00907,ZCTA5 00907,13224,13224,13224,0,0,0
8600000US00909,00909,ZCTA5 00909,3805,3805,3805,0,0,0
8600000US00911,00911,ZCTA5 00911,6096,6096,6096,0,0,0
8600000US00912,00912,ZCTA5 00912,3884,3884,3884,0,0,0
8600000US00913,00913,ZCTA5 00913,4065,4065,4065,0,0,0
8600000US00915,00915,ZCTA5 00915,16538,16538,16538,0,0,0
8600000US00917,00917,ZCTA5 00917,12348,12348,12348,0,0,0
8600000US00918,00918,ZCTA5 00918,10850,10850,10850,0,0,0
8600000US00920,00920,ZCTA5 00920,9322,9322,9322,0,0,0
8600000US00921,00921,ZCTA5 00921,17728,17728,17728,0,0,0
8600000US00923,00923,ZCTA5 00923,13969,13969,13969,0,0,0
8600000US00924,00924,ZCTA5 00924,24971,24971,24971,0,0,0
8600000US00925,00925,ZCTA5 00925,5413,5413,5413,0,0,0
8600000US00926,00926,ZCTA5 00926,47317,47317,47317,0,0,0
8600000US00927,00927,ZCTA5 00927,7893,7893,7893,0,0,0
8600000US00934,00934,ZCTA5 00934,140,140,140,0,0,0
8600000US00936,00936,ZCTA5 00936,4,4,4,0,0,0
8600000US00949,00949,ZCTA5 00949,33340,33340,33340,0,0,0
8600000US00950,00950,ZCTA5 00950,5,0,0,0,5,0
8600000US00951,00951,ZCTA5 00951,19,19,19,0,0,0
8600000US00952,00952,ZCTA5 00952,4169,4169,4169,0,0,0
8600000US00953,00953,ZCTA5 00953,26609,26609,26609,0,0,0
8600000US00956,00956,ZCTA5 00956,32550,32541,32541,0,9,0
8600000US00957,00957,ZCTA5 00957,18275,18275,18275,0,0,0
8600000US00959,00959,ZCTA5 00959,22445,22445,22445,0,0,0
8600000US00960,00960,ZCTA5 00960,0,0,0,0,0,0
8600000US00961,00961,ZCTA5 00961,13394,13394,13394,0,0,0
8600000US00962,00962,ZCTA5 00962,8939,8938,8938,0,1,0
8600000US00965,00965,ZCTA5 00965,3848,3848,3848,0,0,0
8600000US00966,00966,ZCTA5 00966,7894,7894,7894,0,0,0
8600000US00968,00968,ZCTA5 00968,2228,2228,2228,0,0,0
8600000US00969,00969,ZCTA5 00969,17775,17775,17775,0,0,0
8600000US00971,00971,ZCTA5 00971,12895,12891,12891,0,4,0
8600000US00976,00976,ZCTA5 00976,26564,26564,26564,0,0,0
8600000US00979,00979,ZCTA5 00979,12765,12765,12765,0,0,0
8600000US00982,00982,ZCTA5 00982,7402,7402,7402,0,0,0
8600000US00983,00983,ZCTA5 00983,16985,16985,16985,0,0,0
8600000US00985,00985,ZCTA5 00985,15241,15215,15215,0,26,0
8600000US00987,00987,ZCTA5 00987,25557,25468,25468,0,89,0
8600000US01001,01001,ZCTA5 01001,7557,7521,7521,0,36,0
8600000US01002,01002,ZCTA5 01002,10388,8921,8921,0,1467,0
8600000US01003,01003,ZCTA5 01003,5,5,5,0,0,0
